data,labels
"[0.0, 0.12458311021327972, 0.031894534826278687, 0.18146924674510956, 0.08455577492713928, 0.2317645400762558, 0.1179819107055664, 0.28630246222019196, 0.11998188495635986, 0.340595081448555, 0.141088604927063, 0.15097005665302277, 0.17577394843101501, 0.13471265137195587, 0.13131177425384521, 0.1461263746023178, 0.11359933018684387, 0.15582020580768585, 0.13399967551231384, 0.09983949363231659, 0.17065852880477905, 0.08366544544696808, 0.1190149188041687, 0.10927800834178925, 0.10396471619606018, 0.11855559051036835, 0.11841437220573425, 0.05681641399860382, 0.15516233444213867, 0.0358341783285141, 0.10846549272537231, 0.06752355396747589, 0.09276646375656128, 0.08013476431369781, 0.09636181592941284, 0.01938389241695404, 0.12182319164276123, 0.0, 0.09429800510406494, 0.030724719166755676, 0.0802965760231018, 0.04734359681606293]",Dislike
"[0.0, 0.12458311021327972, 0.031894534826278687, 0.18146924674510956, 0.08455577492713928, 0.2317645400762558, 0.1179819107055664, 0.28630246222019196, 0.11998188495635986, 0.340595081448555, 0.141088604927063, 0.15097005665302277, 0.17577394843101501, 0.13471265137195587, 0.13131177425384521, 0.1461263746023178, 0.11359933018684387, 0.15582020580768585, 0.13399967551231384, 0.09983949363231659, 0.17065852880477905, 0.08366544544696808, 0.1190149188041687, 0.10927800834178925, 0.10396471619606018, 0.11855559051036835, 0.11841437220573425, 0.05681641399860382, 0.15516233444213867, 0.0358341783285141, 0.10846549272537231, 0.06752355396747589, 0.09276646375656128, 0.08013476431369781, 0.09636181592941284, 0.01938389241695404, 0.12182319164276123, 0.0, 0.09429800510406494, 0.030724719166755676, 0.0802965760231018, 0.04734359681606293]",Dislike
"[0.0, 0.13338059186935425, 0.035405173897743225, 0.1894194781780243, 0.09128926694393158, 0.2367849349975586, 0.13047023117542267, 0.2879696488380432, 0.1386372298002243, 0.33991914987564087, 0.14675100147724152, 0.15551027655601501, 0.18358884751796722, 0.12876248359680176, 0.13735471665859222, 0.14328637719154358, 0.12151454389095306, 0.15688097476959229, 0.13702501356601715, 0.10358226299285889, 0.17404140532016754, 0.07999157905578613, 0.12171109020709991, 0.10791876912117004, 0.10800482332706451, 0.11936500668525696, 0.12109597027301788, 0.060224682092666626, 0.1606285125017166, 0.03380864858627319, 0.11229170858860016, 0.06615865230560303, 0.09563271701335907, 0.08031433820724487, 0.10054807364940643, 0.023028895258903503, 0.12646718323230743, 0.0, 0.09672124683856964, 0.029351770877838135, 0.08146138489246368, 0.04617294669151306]",Dislike
"[0.0, 0.13338059186935425, 0.035405173897743225, 0.1894194781780243, 0.09128926694393158, 0.2367849349975586, 0.13047023117542267, 0.2879696488380432, 0.1386372298002243, 0.33991914987564087, 0.14675100147724152, 0.15551027655601501, 0.18358884751796722, 0.12876248359680176, 0.13735471665859222, 0.14328637719154358, 0.12151454389095306, 0.15688097476959229, 0.13702501356601715, 0.10358226299285889, 0.17404140532016754, 0.07999157905578613, 0.12171109020709991, 0.10791876912117004, 0.10800482332706451, 0.11936500668525696, 0.12109597027301788, 0.060224682092666626, 0.1606285125017166, 0.03380864858627319, 0.11229170858860016, 0.06615865230560303, 0.09563271701335907, 0.08031433820724487, 0.10054807364940643, 0.023028895258903503, 0.12646718323230743, 0.0, 0.09672124683856964, 0.029351770877838135, 0.08146138489246368, 0.04617294669151306]",Dislike
"[0.0, 0.13338059186935425, 0.035405173897743225, 0.1894194781780243, 0.09128926694393158, 0.2367849349975586, 0.13047023117542267, 0.2879696488380432, 0.1386372298002243, 0.33991914987564087, 0.14675100147724152, 0.15551027655601501, 0.18358884751796722, 0.12876248359680176, 0.13735471665859222, 0.14328637719154358, 0.12151454389095306, 0.15688097476959229, 0.13702501356601715, 0.10358226299285889, 0.17404140532016754, 0.07999157905578613, 0.12171109020709991, 0.10791876912117004, 0.10800482332706451, 0.11936500668525696, 0.12109597027301788, 0.060224682092666626, 0.1606285125017166, 0.03380864858627319, 0.11229170858860016, 0.06615865230560303, 0.09563271701335907, 0.08031433820724487, 0.10054807364940643, 0.023028895258903503, 0.12646718323230743, 0.0, 0.09672124683856964, 0.029351770877838135, 0.08146138489246368, 0.04617294669151306]",Dislike
"[0.0, 0.1488484889268875, 0.038168326020240784, 0.2008042186498642, 0.09732787311077118, 0.23891963064670563, 0.14110581576824188, 0.2843668907880783, 0.15628860890865326, 0.33523182570934296, 0.15151794254779816, 0.15416790544986725, 0.18805913627147675, 0.11990274488925934, 0.1424911767244339, 0.13890202343463898, 0.12533985078334808, 0.158600851893425, 0.13883034884929657, 0.10322792828083038, 0.17728851735591888, 0.07320015132427216, 0.12665323913097382, 0.10319547355175018, 0.11178170144557953, 0.11999426782131195, 0.12058793008327484, 0.06073175370693207, 0.1622571498155594, 0.02698388695716858, 0.11634589731693268, 0.061616912484169006, 0.09802393615245819, 0.08078150451183319, 0.09840159118175507, 0.025497183203697205, 0.12809275090694427, 0.0, 0.09993608295917511, 0.029602989554405212, 0.08288829028606415, 0.047845110297203064]",Dislike
"[0.0, 0.1488484889268875, 0.038168326020240784, 0.2008042186498642, 0.09732787311077118, 0.23891963064670563, 0.14110581576824188, 0.2843668907880783, 0.15628860890865326, 0.33523182570934296, 0.15151794254779816, 0.15416790544986725, 0.18805913627147675, 0.11990274488925934, 0.1424911767244339, 0.13890202343463898, 0.12533985078334808, 0.158600851893425, 0.13883034884929657, 0.10322792828083038, 0.17728851735591888, 0.07320015132427216, 0.12665323913097382, 0.10319547355175018, 0.11178170144557953, 0.11999426782131195, 0.12058793008327484, 0.06073175370693207, 0.1622571498155594, 0.02698388695716858, 0.11634589731693268, 0.061616912484169006, 0.09802393615245819, 0.08078150451183319, 0.09840159118175507, 0.025497183203697205, 0.12809275090694427, 0.0, 0.09993608295917511, 0.029602989554405212, 0.08288829028606415, 0.047845110297203064]",Dislike
"[0.0, 0.157232403755188, 0.039723798632621765, 0.20755362510681152, 0.10116298496723175, 0.24084338545799255, 0.1480574756860733, 0.2806786894798279, 0.16680724918842316, 0.3299305737018585, 0.15436075627803802, 0.14958861470222473, 0.18889664113521576, 0.11132681369781494, 0.1452760249376297, 0.13159433007240295, 0.1305593103170395, 0.15154621005058289, 0.1388416737318039, 0.10081261396408081, 0.17500688135623932, 0.06615382432937622, 0.1259939819574356, 0.09878191351890564, 0.11513568460941315, 0.1168244481086731, 0.11813984811306, 0.06070491671562195, 0.1569407731294632, 0.023507744073867798, 0.11318434774875641, 0.0589812695980072, 0.09919045865535736, 0.07833492755889893, 0.09397993981838226, 0.027527227997779846, 0.12190492451190948, 0.0, 0.09532727301120758, 0.029759138822555542, 0.08135254681110382, 0.04825088381767273]",Dislike
"[0.0, 0.167229562997818, 0.04500943422317505, 0.21492919325828552, 0.1065608561038971, 0.24248769879341125, 0.15444070100784302, 0.2780514657497406, 0.17435938119888306, 0.3267246186733246, 0.1515897512435913, 0.14393886923789978, 0.18719995021820068, 0.10325595736503601, 0.1439622938632965, 0.12776222825050354, 0.12653028964996338, 0.14834269881248474, 0.13395234942436218, 0.09826382994651794, 0.1695634126663208, 0.05922183394432068, 0.1237601637840271, 0.09546893835067749, 0.11254140734672546, 0.11306065320968628, 0.11232808232307434, 0.06113353371620178, 0.14967560768127441, 0.0194699764251709, 0.11002320051193237, 0.05798783898353577, 0.09666708111763, 0.07730796933174133, 0.08835750818252563, 0.030964970588684082, 0.1161370575428009, 0.0, 0.09247836470603943, 0.03128807246685028, 0.07904201745986938, 0.05039384961128235]",Dislike
"[0.0, 0.167229562997818, 0.04500943422317505, 0.21492919325828552, 0.1065608561038971, 0.24248769879341125, 0.15444070100784302, 0.2780514657497406, 0.17435938119888306, 0.3267246186733246, 0.1515897512435913, 0.14393886923789978, 0.18719995021820068, 0.10325595736503601, 0.1439622938632965, 0.12776222825050354, 0.12653028964996338, 0.14834269881248474, 0.13395234942436218, 0.09826382994651794, 0.1695634126663208, 0.05922183394432068, 0.1237601637840271, 0.09546893835067749, 0.11254140734672546, 0.11306065320968628, 0.11232808232307434, 0.06113353371620178, 0.14967560768127441, 0.0194699764251709, 0.11002320051193237, 0.05798783898353577, 0.09666708111763, 0.07730796933174133, 0.08835750818252563, 0.030964970588684082, 0.1161370575428009, 0.0, 0.09247836470603943, 0.03128807246685028, 0.07904201745986938, 0.05039384961128235]",Dislike
